City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
yulara,-25.24,130.99,87.8,20,96,17.22,AU,1605497363
hambantota,6.12,81.12,77.0,100,90,4.7,LK,1605497654
atuona,-9.8,-139.03,78.08,74,40,14.23,PF,1605497654
paamiut,61.99,-49.67,24.87,76,19,12.33,GL,1605497654
kirensk,57.79,108.11,15.62,93,99,2.59,RU,1605497654
kushmurun,52.45,64.63,12.76,94,100,13.67,KZ,1605497655
russellville,35.28,-93.13,39.99,69,1,2.26,US,1605497655
baykit,61.67,96.37,6.85,91,100,3.96,RU,1605497655
kishorganj,24.43,90.77,80.33,62,20,3.06,BD,1605497655
makakilo city,21.35,-158.09,82.4,65,75,6.02,US,1605497377
port-cartier,50.03,-66.87,34.0,92,90,21.92,CA,1605497655
ribeira grande,38.52,-28.7,65.57,89,13,16.53,PT,1605497655
barrow,71.29,-156.79,17.6,78,75,16.11,US,1605497521
puerto montt,-41.47,-72.94,46.4,93,40,7.43,CL,1605497605
port hardy,50.7,-127.42,44.6,100,40,2.24,CA,1605497655
tomatlan,19.93,-105.25,71.11,91,0,2.86,MX,1605497656
saint-joseph,-21.37,55.62,71.6,49,40,8.05,RE,1605497656
pisco,-13.7,-76.22,64.4,82,0,11.41,PE,1605497656
cabo san lucas,22.89,-109.91,73.4,64,5,4.7,MX,1605497656
sibut,5.72,19.07,69.51,54,0,1.19,CF,1605497656
talbahat,25.05,78.43,73.35,62,74,9.78,IN,1605497657
sechura,-5.56,-80.82,65.08,79,100,9.46,PE,1605497657
nemuro,43.32,145.57,51.8,62,75,8.05,JP,1605497657
longyearbyen,78.22,15.64,17.6,67,75,29.97,SJ,1605497657
ushuaia,-54.8,-68.3,46.4,45,20,31.09,AR,1605497657
okhotsk,59.38,143.3,7.9,87,23,17.85,RU,1605497657
evensk,61.95,159.23,18.97,97,97,9.64,RU,1605497657
puerto ayora,-0.74,-90.35,70.0,87,96,8.01,EC,1605497657
xiongzhou,25.12,114.3,74.71,66,89,2.75,CN,1605497658
hithadhoo,-0.6,73.08,83.37,78,99,22.68,MV,1605497658
rennes,48.17,-1.67,51.01,81,0,10.29,FR,1605497658
saurimo,-9.66,20.39,63.36,96,91,3.18,AO,1605497658
olafsvik,64.89,-23.71,36.93,79,100,16.82,IS,1605497658
kankan,10.39,-9.31,68.99,39,0,1.9,GN,1605497658
mar del plata,-38.0,-57.56,54.0,87,20,3.53,AR,1605497658
gambela,8.25,34.58,72.81,66,29,2.48,ET,1605497658
port alfred,-33.59,26.89,65.66,90,100,11.5,ZA,1605497658
lebu,-37.62,-73.65,50.85,84,0,18.39,CL,1605497659
katsuura,35.13,140.3,70.0,63,20,4.7,JP,1605497659
narsaq,60.92,-46.05,14.0,56,0,2.24,GL,1605497385
vaini,-21.2,-175.2,78.8,83,75,5.82,TO,1605497659
caraballeda,10.61,-66.85,71.01,87,93,7.38,VE,1605497659
tyazhinskiy,56.12,88.52,20.37,95,99,4.5,RU,1605497659
cabedelo,-6.98,-34.83,75.2,100,75,3.36,BR,1605497659
namatanai,-3.67,152.43,83.28,73,98,5.93,PG,1605497660
sitka,57.05,-135.33,30.2,86,40,5.82,US,1605497397
torbay,47.67,-52.73,34.0,88,90,8.05,CA,1605497660
faya,18.39,42.45,57.2,93,0,2.53,SA,1605497660
komsomolskiy,40.43,71.72,32.0,70,0,1.97,UZ,1605497382
mnogovershinnyy,53.94,139.92,16.21,90,75,17.76,RU,1605497660
kavieng,-2.57,150.8,80.92,82,100,5.55,PG,1605497660
santa cruz de la palma,28.68,-17.76,71.6,83,20,3.36,ES,1605497660
clyde river,70.47,-68.59,12.2,56,90,12.75,CA,1605497661
tari,12.41,4.49,74.32,28,0,10.89,NG,1605497661
denpasar,-8.65,115.22,87.8,62,20,10.29,ID,1605497579
puerto leguizamo,-0.19,-74.78,72.66,97,89,2.13,CO,1605497661
jiuquan,39.74,98.52,44.78,45,100,5.23,CN,1605497661
bethel,41.37,-73.41,53.6,71,90,11.41,US,1605497661
kaitangata,-46.28,169.85,62.44,57,50,10.31,NZ,1605497661
port lincoln,-34.73,135.87,65.05,52,0,16.13,AU,1605497446
saskylakh,71.92,114.08,2.66,93,98,7.92,RU,1605497661
yambio,4.57,28.4,65.48,91,25,2.57,SS,1605497662
calbuco,-41.77,-73.13,46.4,93,40,12.19,CL,1605497662
la ronge,55.1,-105.28,15.8,78,23,2.19,CA,1605497662
vila velha,-20.33,-40.29,71.6,94,0,2.24,BR,1605497662
antofagasta,-23.65,-70.4,60.8,77,75,14.99,CL,1605497662
fredonia,42.44,-79.33,39.99,80,90,25.28,US,1605497663
kholm,59.27,32.85,29.52,96,19,8.32,RU,1605497663
sarkand,45.41,79.92,35.2,70,70,3.33,KZ,1605497663
marzuq,14.4,46.47,64.67,35,0,0.38,YE,1605497663
sao jose da coroa grande,-8.9,-35.15,76.6,86,22,9.57,BR,1605497663
thompson,55.74,-97.86,-5.8,76,5,5.82,CA,1605497664
atikokan,48.76,-91.62,19.76,89,100,13.67,CA,1605497664
merauke,-8.47,140.33,85.84,70,51,16.04,ID,1605497664
provideniya,64.38,-173.3,35.6,93,90,22.37,RU,1605497664
mantua,45.17,10.78,51.01,95,100,1.99,IT,1605497665
ayr,55.46,-4.63,53.6,76,75,16.11,GB,1605497665
chachapoyas,-6.23,-77.87,55.35,89,100,2.08,PE,1605497665
winsum,53.33,6.52,48.99,86,50,4.0,NL,1605497665
severo-kurilsk,50.68,156.12,36.25,87,98,11.27,RU,1605497665
katherine,-14.47,132.27,100.4,24,43,13.87,AU,1605497666
la paz,-16.5,-68.15,46.4,61,20,2.24,BO,1605497651
oktyabrskiy,54.48,53.47,9.39,90,0,1.01,RU,1605497666
bethlehem,-1.46,-48.5,77.0,94,0,6.93,BR,1605497617
ulaanbaatar,47.91,106.88,33.8,50,75,4.47,MN,1605497597
tasiilaq,65.61,-37.64,14.79,91,100,2.8,GL,1605497667
college,64.86,-147.8,0.0,77,75,0.6,US,1605497667
branford,41.28,-72.82,55.99,85,100,14.0,US,1605497667
chokurdakh,70.63,147.92,-21.35,89,72,2.84,RU,1605497668
ilheus,-14.79,-39.05,80.6,88,40,10.29,BR,1605497668
iqaluit,63.75,-68.51,24.8,73,75,20.8,CA,1605497668
hurricane,37.18,-113.29,51.01,27,1,2.17,US,1605497668
sorong,-0.88,131.25,84.07,73,100,5.7,ID,1605497668
ahipara,-35.17,173.17,66.58,73,73,8.52,NZ,1605497668
sur,22.57,59.53,78.08,48,0,4.97,OM,1605497669
ercis,39.03,43.36,35.6,80,75,2.91,TR,1605497669
awjilah,29.11,21.29,56.44,80,28,5.53,LY,1605497669
iesolo,45.53,12.64,51.01,93,75,6.93,IT,1605497669
konosha,60.97,40.26,27.7,95,100,7.23,RU,1605497669
grand gaube,-20.01,57.66,75.99,48,1,7.0,MU,1605497669
victoria,22.29,114.16,82.0,66,4,15.01,HK,1605497443
bud,39.45,-86.18,45.0,56,75,14.99,US,1605497669
ewa beach,21.32,-158.01,82.4,65,75,6.82,US,1605497669
umm lajj,25.02,37.27,71.29,65,0,6.22,SA,1605497412
alta floresta,-9.88,-56.09,71.87,93,100,1.9,BR,1605497670
constitucion,-35.33,-72.42,52.77,78,1,4.34,CL,1605497670
chuy,-33.7,-53.46,62.24,86,40,9.48,UY,1605497670
pangnirtung,66.15,-65.71,14.81,90,95,3.65,CA,1605497388
saint-philippe,-21.36,55.77,71.6,49,40,8.05,RE,1605497670
oranjestad,12.52,-70.03,80.6,88,20,12.75,AW,1605497375
namibe,-15.2,12.15,68.22,77,7,4.25,AO,1605497670
tselinnoye,53.08,85.67,23.47,85,37,8.81,RU,1605497670
strezhevoy,60.73,77.59,-5.8,83,90,1.97,RU,1605497671
alexandria,31.22,29.96,68.0,60,40,12.75,EG,1605497671
russkaya polyana,49.42,31.92,38.35,85,100,11.39,UA,1605497671
fortuna,40.6,-124.16,62.01,87,75,13.87,US,1605497583
ponta do sol,32.67,-17.1,69.8,100,75,18.34,PT,1605497671
kodiak,57.79,-152.41,35.6,55,1,12.75,US,1605497671
rosetta,31.4,30.42,68.0,60,40,12.75,EG,1605497671
padang,-0.95,100.35,85.51,69,54,4.61,ID,1605497671
cap malheureux,-19.98,57.61,75.99,48,0,7.0,MU,1605497671
wundanyi,-3.4,38.36,62.64,100,97,5.23,KE,1605497672
high level,58.52,-117.14,3.2,91,5,11.41,CA,1605497672
kavaratti,10.57,72.64,84.2,83,20,4.7,IN,1605497672
mizdah,31.45,12.98,55.67,50,94,4.21,LY,1605497672
zhengjiatun,43.51,123.51,46.0,49,0,7.85,CN,1605497672
kruisfontein,-34.0,24.73,61.0,90,94,1.23,ZA,1605497672
vao,-22.67,167.48,75.33,79,2,13.78,NC,1605497672
port blair,11.67,92.75,83.82,66,34,12.88,IN,1605497473
koumac,-20.57,164.28,78.64,77,37,11.07,NC,1605497673
thunder bay,48.4,-89.32,28.4,74,90,19.46,CA,1605497673
japura,-0.32,102.35,84.4,82,66,2.35,ID,1605497673
popova,42.96,131.72,44.6,19,0,15.66,RU,1605497673
new norfolk,-42.78,147.06,66.0,43,57,11.99,AU,1605497673
ostrovnoy,68.05,39.51,34.39,89,100,27.4,RU,1605497673
traverse city,44.76,-85.62,35.6,93,90,14.99,US,1605497380
fort nelson,58.81,-122.7,8.6,84,90,5.82,CA,1605497673
roswell,34.02,-84.36,53.6,46,1,6.93,US,1605497673
chumikan,54.72,135.31,13.87,90,0,21.43,RU,1605497673
norman wells,65.28,-126.83,1.4,84,75,2.24,CA,1605497674
palmerston,-12.49,130.98,95.0,56,20,10.29,AU,1605497674
portland,45.52,-122.68,48.99,87,90,11.41,US,1605497403
talara,-4.58,-81.27,64.49,85,99,12.01,PE,1605497404
necochea,-38.55,-58.74,45.0,89,0,5.01,AR,1605497674
esperance,-33.87,121.9,73.4,43,0,11.41,AU,1605497674
east london,-33.02,27.91,64.4,93,90,2.24,ZA,1605497674
adrar,20.5,-10.07,73.08,25,91,11.54,MR,1605497674
knysna,-34.04,23.05,59.0,93,90,4.7,ZA,1605497674
saldanha,-33.01,17.94,55.4,82,100,6.93,ZA,1605497675
dickinson,29.46,-95.05,64.99,38,1,6.93,US,1605497512
lianran,24.92,102.48,68.0,82,40,11.18,CN,1605497675
syracuse,37.09,15.28,60.01,81,0,8.05,IT,1605497517
tiksi,71.69,128.87,-8.5,89,48,7.14,RU,1605497675
bima,-8.47,118.72,99.46,34,52,4.61,ID,1605497675
vuktyl,63.86,57.31,16.66,97,92,6.29,RU,1605497675
berlevag,70.86,29.09,42.51,87,95,20.78,NO,1605497676
guangyuan,32.44,105.82,64.99,63,88,1.01,CN,1605497676
fairbanks,64.84,-147.72,0.0,77,75,0.67,US,1605497432
hamilton,39.18,-84.53,46.99,49,40,16.11,US,1605497676
west wendover,40.74,-114.07,39.2,44,1,3.36,US,1605497676
grindavik,63.84,-22.43,37.4,69,90,9.17,IS,1605497676
mehamn,71.04,27.85,40.8,86,96,12.88,NO,1605497676
anadyr,64.75,177.48,35.6,80,0,29.08,RU,1605497676
nanortalik,60.14,-45.24,26.83,83,0,7.18,GL,1605497676
sucua,-2.47,-78.17,68.25,75,86,3.8,EC,1605497677
nome,64.5,-165.41,21.2,79,90,6.93,US,1605497677
labuhan,-6.88,112.21,89.28,59,16,6.15,ID,1605497677
chernyshevskiy,63.01,112.47,-2.38,92,90,7.61,RU,1605497677
chapais,49.78,-74.85,32.0,97,90,20.8,CA,1605497677
umm kaddadah,13.6,26.69,65.79,41,0,16.44,SD,1605497677
lasa,46.62,10.7,44.01,100,90,3.04,IT,1605497677
mahebourg,-20.41,57.7,73.4,56,40,10.29,MU,1605497677
boyolangu,-8.12,111.89,85.73,69,53,9.64,ID,1605497677
ballangen,68.34,16.83,45.0,80,100,11.41,NO,1605497678
kachug,53.96,105.88,23.02,86,100,0.25,RU,1605497678
beringovskiy,63.05,179.32,35.13,90,100,19.69,RU,1605497417
uvinza,-5.1,30.39,65.61,89,92,0.58,TZ,1605497678
tobol,52.68,62.58,9.75,94,84,10.25,KZ,1605497678
bria,6.54,21.99,66.72,50,65,3.76,CF,1605497678
iberia,29.95,-91.75,57.2,62,1,6.93,US,1605497678
kaili,-3.46,120.21,84.02,54,38,5.57,ID,1605497678
san patricio,28.02,-97.52,69.8,22,20,16.11,US,1605497678
sarangani,5.4,125.46,83.75,78,30,18.25,PH,1605497678
jacareacanga,-6.22,-57.75,77.2,77,99,1.28,BR,1605497678
opunake,-39.46,173.86,64.0,78,36,11.01,NZ,1605497648
santa maria,-29.68,-53.81,73.4,88,75,5.82,BR,1605497679
kieta,-6.22,155.63,84.47,68,100,4.83,PG,1605497679
iskateley,67.68,53.15,31.55,97,100,16.93,RU,1605497679
okha,53.57,142.95,24.67,94,100,20.2,RU,1605497679
asfi,32.3,-9.24,73.42,44,0,6.93,MA,1605497679
salalah,17.02,54.09,73.4,56,0,2.24,OM,1605497680
chateauroux,46.82,1.7,50.0,87,0,16.11,FR,1605497680
pachelma,53.24,43.35,22.08,84,57,10.83,RU,1605497680
lata,40.16,-8.33,60.01,94,99,0.85,PT,1605497680
nhamunda,-2.19,-56.71,79.25,76,13,2.98,BR,1605497680
tyup,42.73,78.36,32.63,86,70,2.59,KG,1605497680
pemangkat,1.17,108.97,86.58,62,97,4.45,ID,1605497680
santiago del estero,-27.8,-64.26,73.99,62,71,1.99,AR,1605497681
santa lucia,27.91,-15.54,69.8,88,0,8.05,ES,1605497463
eydhafushi,5.1,73.07,82.17,74,100,6.26,MV,1605497681
tocopilla,-22.09,-70.2,60.21,63,8,6.78,CL,1605497681
lamu,-2.27,40.9,80.6,78,75,11.54,KE,1605497681
nuuk,64.18,-51.72,15.8,66,53,16.11,GL,1605497681
aswan,24.09,32.91,59.38,58,0,10.45,EG,1605497681
taoudenni,22.68,-3.98,70.34,23,15,15.26,ML,1605497681
cherskiy,68.75,161.3,1.99,93,100,6.76,RU,1605497388
arraias,-12.93,-46.94,70.68,92,100,3.53,BR,1605497682
guarapari,-20.67,-40.5,71.6,94,0,2.24,BR,1605497682
seoul,37.57,126.98,60.8,58,1,4.7,KR,1605497608
verkhoturye,58.86,60.81,10.98,91,1,3.22,RU,1605497682
salinas,36.68,-121.66,55.99,66,1,3.71,US,1605497552
carnarvon,-24.87,113.63,78.8,54,0,19.46,AU,1605497682
saint anthony,45.02,-93.22,26.6,68,1,9.17,US,1605497415
la crosse,43.8,-91.24,30.2,68,40,14.99,US,1605497682
manacapuru,-3.3,-60.62,77.0,94,0,1.12,BR,1605497682
yenagoa,4.92,6.26,75.63,94,95,3.58,NG,1605497682
honningsvag,70.98,25.97,43.86,85,100,15.43,NO,1605497682
abagur,53.73,87.25,25.83,85,78,5.46,RU,1605497683
maple creek,49.92,-109.48,35.6,69,25,19.46,CA,1605497683
crotone,39.09,17.12,60.21,54,6,3.06,IT,1605497683
chignautla,19.83,-97.38,53.92,100,83,3.69,MX,1605497683
gerash,27.67,54.14,51.8,66,0,2.42,IR,1605497683
soe,-9.86,124.28,92.14,27,37,12.68,ID,1605497683
igarka,67.47,86.58,3.11,94,100,6.33,RU,1605497683
davila,18.47,120.58,89.6,66,20,14.99,PH,1605497683
balad,34.02,44.15,63.63,39,95,3.27,IQ,1605497683
takoradi,4.88,-1.76,77.77,88,2,5.08,GH,1605497684
gisborne,-38.65,178.0,75.0,56,1,5.99,NZ,1605497684
markova,48.68,24.41,40.14,80,77,2.84,UA,1605497684
bow island,49.87,-111.37,33.8,69,12,11.41,CA,1605497684
erzurum,40.0,41.5,24.8,92,20,2.24,TR,1605497684
sumenep,-7.02,113.87,88.65,58,0,11.43,ID,1605497684
port macquarie,-31.43,152.92,95.0,43,17,1.99,AU,1605497456
hofn,64.25,-15.21,37.4,77,99,20.29,IS,1605497684
niamey,13.51,2.11,77.0,29,0,8.05,NE,1605497685
puxinana,-7.16,-35.96,71.6,100,75,8.05,BR,1605497685
sorland,67.67,12.69,47.68,82,100,16.42,NO,1605497685
lorengau,-2.02,147.27,84.85,74,100,11.16,PG,1605497685
mandalgovi,45.76,106.27,34.3,86,100,5.97,MN,1605497685
haimen,23.19,116.61,78.8,65,0,4.47,CN,1605497685
fez,34.04,-5.0,62.6,51,0,8.05,MA,1605497405
quatre cocos,-20.21,57.76,75.99,56,40,10.29,MU,1605497686
manitouwadge,49.12,-85.84,33.8,95,100,3.36,CA,1605497686
flinders,-34.58,150.86,91.99,48,100,4.0,AU,1605497686
ha giang,22.83,104.98,68.22,84,100,1.16,VN,1605497686
santa cruz,-17.8,-63.17,80.6,69,40,9.17,BO,1605497619
caravelas,-17.71,-39.25,74.75,93,100,8.66,BR,1605497686
half moon bay,37.46,-122.43,59.0,76,20,6.93,US,1605497686
sao felix do xingu,-6.64,-51.99,73.11,93,82,0.83,BR,1605497687
comodoro rivadavia,-45.87,-67.5,66.2,42,0,10.29,AR,1605497687
vestmannaeyjar,63.44,-20.27,40.08,70,100,6.98,IS,1605497687
lethem,3.38,-59.8,78.87,78,95,6.98,GY,1605497687
sydney,-33.87,151.21,102.0,30,0,16.11,AU,1605497625
tual,-5.67,132.75,83.62,75,93,13.0,ID,1605497687
lodeynoye pole,60.73,33.55,30.87,95,58,6.87,RU,1605497687
yinchuan,38.47,106.27,57.49,50,19,12.55,CN,1605497687
nexo,55.06,15.13,50.0,87,100,18.34,DK,1605497687
rodrigues alves,-7.74,-72.65,75.49,89,67,2.3,BR,1605497688
ninghai,29.29,121.42,73.0,73,75,2.24,CN,1605497688
freeport,40.66,-73.58,55.4,76,90,9.17,US,1605497640
rocha,-34.48,-54.33,55.85,92,18,6.6,UY,1605497688
codrington,-38.27,141.97,61.34,61,0,22.84,AU,1605497688
barnala,30.38,75.55,60.8,82,75,2.24,IN,1605497688
kouqian,43.64,126.46,43.38,55,0,2.68,CN,1605497688
westport,41.14,-73.36,55.0,65,100,15.52,US,1605497689
aksu,41.12,80.26,44.56,46,100,4.43,CN,1605497689
collie,-33.37,116.15,66.99,54,58,10.0,AU,1605497689
toguchin,55.24,84.39,18.79,95,77,8.66,RU,1605497689
haysville,37.56,-97.35,45.0,41,1,9.17,US,1605497689
marsh harbour,26.54,-77.06,77.38,77,1,10.36,BS,1605497689
vostok,46.49,135.88,23.04,81,3,15.59,RU,1605497689
gorontalo,0.54,123.06,87.06,70,45,4.34,ID,1605497689
saint-augustin,51.23,-58.65,30.58,91,0,5.91,CA,1605497690
pasni,25.26,63.47,68.38,32,0,18.95,PK,1605497690
tataru,45.1,26.33,39.2,86,5,3.36,RO,1605497690
kismayo,-0.36,42.55,81.05,77,75,11.81,SO,1605497690
russell,32.35,-85.2,60.8,71,1,4.7,US,1605497690
sulangan,11.14,123.72,83.26,76,87,8.5,PH,1605497690
diamantino,-14.41,-56.45,77.11,70,82,2.17,BR,1605497690
tuatapere,-46.13,167.68,59.0,77,12,18.99,NZ,1605497690
lingao,19.91,109.69,77.63,82,95,15.99,CN,1605497691
maceio,-9.67,-35.74,75.2,94,75,3.36,BR,1605497691
axim,4.87,-2.24,77.94,88,1,5.66,GH,1605497691
kidal,18.44,1.41,67.26,25,0,12.68,ML,1605497691
birjand,32.87,59.22,26.6,53,0,4.7,IR,1605497691
tottori,35.5,134.23,68.0,68,20,3.36,JP,1605497496
te anau,-45.42,167.72,63.97,46,1,7.83,NZ,1605497691
derazhnya,49.27,27.43,39.2,84,20,4.56,UA,1605497691
khuzdar,27.74,66.64,54.18,26,0,2.84,PK,1605497691
neiafu,-18.65,-173.98,82.4,69,40,6.93,TO,1605497692
san quintin,30.48,-115.95,65.19,46,0,3.0,MX,1605497692
cockburn town,21.46,-71.14,80.1,74,35,20.42,TC,1605497395
jiayuguan,39.82,98.3,42.42,50,100,6.6,CN,1605497692
lalmohan,22.34,90.74,80.33,58,0,5.66,BD,1605497692
letlhakane,-21.42,25.58,78.33,22,96,8.41,BW,1605497692
makaha,21.47,-158.22,82.0,73,1,5.82,US,1605497692
muroto,33.28,134.15,73.4,64,75,4.7,JP,1605497692
gravdal,68.12,13.5,44.98,85,100,12.41,NO,1605497692
aljezur,37.32,-8.8,62.01,95,28,1.99,PT,1605497692
zhangye,38.93,100.45,44.83,48,15,4.47,CN,1605497693
innisfail,-17.53,146.03,88.0,36,68,8.01,AU,1605497406
duncan,34.5,-97.96,42.8,56,1,3.36,US,1605497693
mezen,65.85,44.24,31.71,97,98,10.87,RU,1605497693
puerto carreno,6.19,-67.49,79.14,88,54,5.93,CO,1605497693
najran,17.49,44.13,57.2,41,0,4.7,SA,1605497693
caluquembe,-13.78,14.68,60.62,96,99,2.91,AO,1605497693
changping,40.22,116.22,53.01,57,31,2.24,CN,1605497693
balasheyka,53.28,48.09,13.84,89,0,4.47,RU,1605497693
pathein,16.78,94.73,83.34,71,1,10.33,MM,1605497693
pimentel,-6.84,-79.93,62.94,88,98,10.49,PE,1605497694
camacupa,-12.02,17.48,62.28,98,100,1.7,AO,1605497694
neryungri,56.67,124.65,9.75,89,69,8.95,RU,1605497694
gat,31.61,34.76,61.0,100,23,1.01,IL,1605497694
naze,28.37,129.48,78.8,61,20,11.41,JP,1605497694
korla,41.76,86.15,44.83,52,99,2.21,CN,1605497694
regeneracao,-6.24,-42.69,78.76,60,78,1.32,BR,1605497694
rio grande,-32.03,-52.1,68.0,95,28,1.01,BR,1605497694
banda aceh,5.56,95.32,85.59,69,62,10.89,ID,1605497613
hasaki,35.73,140.83,72.0,56,20,3.36,JP,1605497695
chimbarongo,-34.7,-71.05,60.8,55,0,2.24,CL,1605497658
luderitz,-26.65,15.16,56.7,80,54,13.76,NA,1605497695
rawson,-43.3,-65.1,64.38,37,58,8.52,AR,1605497695
deputatskiy,69.3,139.9,-12.6,90,73,4.23,RU,1605497695
mandali,33.75,45.55,62.74,36,7,4.81,IQ,1605497695
saulkrasti,57.26,24.41,39.2,93,90,16.11,LV,1605497695
la roche-sur-yon,46.67,-1.43,51.8,87,40,6.93,FR,1605497695
mogadishu,2.04,45.34,80.11,78,74,12.66,SO,1605497590
yeppoon,-23.13,150.73,91.4,43,0,8.05,AU,1605497695
cabrero,-37.03,-72.4,59.0,62,2,5.82,CL,1605497417
cooma,-36.23,149.13,69.8,49,59,21.92,AU,1605497696
tuy hoa,13.08,109.3,81.43,82,5,10.33,VN,1605497696
ulladulla,-35.35,150.47,93.2,20,0,19.46,AU,1605497696
nouadhibou,20.93,-17.03,73.4,46,100,11.41,MR,1605497696
kahului,20.89,-156.47,80.6,65,1,12.75,US,1605497448
havre,49.58,0.33,53.6,81,90,24.16,FR,1605497696
vila franca do campo,37.72,-25.43,60.8,87,75,6.93,PT,1605497696
murray bridge,-35.12,139.27,69.01,50,0,17.07,AU,1605497696
capiibary,-24.8,-56.03,71.71,93,50,2.44,PY,1605497696
progreso,21.28,-89.67,78.8,88,40,5.82,MX,1605497696
trincomalee,8.57,81.23,83.3,76,100,2.84,LK,1605497697
